MHE_Prediction_Error,Time_Step,Price,T_Zone,T_Lower,T_Upper,Action_MPC,Action_Agent,Action_Final,Ablation_Tag,LL_Mode,Alpha_Online,Risk_Gate,Future_Upper_Min_3h,Alpha_Soft,Alpha_Exec,Hard_Switch_Flag,Alpha,Alpha_Final,Alpha_Action,Alpha_Temp,T_Out,Q_Sol,Temp_Rule,Temp_Target,Temp_Agent,Alpha_HL,Is_Away,Home_Step,Violation,Tset_AI,R_est,C_est,A_solar_est,Q_gain_est,c1_est,c2_est,c3_est,MHE_Updated,T_Zone_prev,T_Out_prev,MHE_Loss,T_Pred_RC,T_Pred_MHE,RC_Error,MHE_Error,Reward,T_Upper_Ctrl
-0.3724173042378425,0,0.2486,21.33588239733433,21.0,24.0,0.8056088089942932,0.5093128085136414,0.7499006986618042,full_soft,soft,0.8119849823828795,6.880620924477969e-24,23.8,0.8119849823828795,0.8119849823828795,0,0.8119849823828795,0.8119849823828795,1.0,1.0,1.5315625000000068,0.0,21.9,21.902775806188583,191.44969940185547,0.9947916666666666,0,1,0,22.432954788208008,0.01,10000000.0,5.0,0.0,-6000.0,12000.0,493.7,0,20.0,10.0,0.0,20.46065618331386,20.0,0.8752262140204721,1.3358823973343306,-14.15065081183463,23.8
-0.40392060590841083,1,0.2486,21.366283575061573,21.0,24.0,0.6205382347106934,0.5093499422073364,0.5542889833450317,full_soft,soft,0.40417065862883106,3.214155315503538e-14,23.8,0.4041706586288502,0.4041706586288502,0,0.4041706586288502,0.4041706586288502,1.0,1.0,1.5591666666666697,0.0,21.9,21.90528341134389,191.49016857147217,0.9895833333333334,0,2,0,22.407207489013672,0.01,10000000.0,5.0,1166.9682853606294,-6000.0,12000.0,493.7,0,21.33588239733433,1.5315625000000068,0.0,21.739828176342257,21.33588239733433,-0.3735446012806847,0.030401177727242157,-10.972214338197123,23.8
-0.3761435568271736,2,0.2486,21.38712113134261,21.0,24.0,0.6366830468177795,0.5093287229537964,0.5658264756202698,full_soft,soft,0.4436265191913397,5.3347972819736587e-14,23.8,0.4436265191913694,0.4436265191913694,0,0.4436265191913694,0.4436265191913694,1.0,1.0,1.582187499999975,0.0,21.9,21.90761061310768,191.48995399475098,0.984375,0,3,0,22.3870792388916,0.01,10000000.0,5.0,797.206112403263,-6000.0,12000.0,493.7,0,21.366283575061573,1.5591666666666697,0.0,21.742407482395265,21.366283575061573,-0.35528635105265494,0.02083755628103745,-10.411357896055273,23.8
-0.35534614719529145,3,0.2486,21.402250448590507,21.0,24.0,0.661246120929718,0.5092905163764954,0.5860111713409424,full_soft,soft,0.5048888555766639,7.549969254191152e-14,23.8,0.5048888555767013,0.5048888555767013,0,0.5048888555767013,0.5048888555767013,1.0,1.0,1.6000000000000227,0.0,21.9,21.9107080856959,191.4850616455078,0.9791666666666666,0,4,0,22.41398811340332,0.01,10000000.0,5.0,463.13607077804113,-6000.0,12000.0,493.7,0,21.38712113134261,1.582187499999975,0.0,21.742443129893104,21.38712113134261,-0.3401926813025966,0.015129317247897234,-10.172105678231329,23.8
-0.3394246258538942,4,0.2466,21.41537698340437,21.0,24.0,0.6894756555557251,0.5092491507530212,0.612878680229187,full_soft,soft,0.5749961330430702,9.715269066437265e-14,23.8,0.5749961330431115,0.5749961330431115,0,0.5749961330431115,0.5749961330431115,1.0,1.0,1.6119531250000136,0.0,21.9,21.91372142632802,191.49099826812744,0.9739583333333334,0,5,0,22.426902770996094,0.01,10000000.0,5.0,157.2046148767841,-6000.0,12000.0,493.7,0,21.402250448590507,1.6000000000000227,0.0,21.74168563513274,21.402250448590507,-0.3263086517283682,0.013126534813864055,-9.971424696768224,23.8
-0.32547448308002913,5,0.2466,21.42827138155303,21.0,24.0,0.7160494923591614,0.5093153715133667,0.6412426233291626,full_soft,soft,0.6381494468073197,1.2091156996172785e-13,23.8,0.6381494468073634,0.6381494468073634,0,0.6381494468073634,0.6381494468073634,1.0,1.0,1.6168749999999932,0.0,21.9,21.915634405612945,191.49803638458252,0.96875,0,6,0,22.400300979614258,0.01,10000000.0,5.0,-123.93608461650075,-6000.0,12000.0,493.7,0,21.41537698340437,1.6119531250000136,0.0,21.740923219192723,21.41537698340437,-0.3126518376396916,0.012894398148660002,-9.752228836493705,23.8
-0.3117774215936606,6,0.2466,21.442601362581115,21.0,24.0,0.7385603785514832,0.509323239326477,0.6671164035797119,full_soft,soft,0.6883402875441756,1.4989965258504458e-13,23.8,0.6883402875442224,0.6883402875442224,0,0.6883402875442224,0.6883402875442224,1.0,1.0,1.613359375000016,0.0,21.9,21.916153838237125,191.4825439453125,0.9635416666666666,0,7,0,22.343076705932617,0.01,10000000.0,5.0,-381.7132953844681,-6000.0,12000.0,493.7,0,21.42827138155303,1.6168749999999932,0.0,21.74020941360095,21.42827138155303,-0.2976080510198358,0.014329981028083694,-9.475360399568816,23.8
-0.29813332941557746,7,0.2466,21.459902316993066,21.0,24.0,0.7568228244781494,0.5093224048614502,0.6890363693237305,full_soft,soft,0.7261158157601734,1.9033755566019506e-13,23.8,0.7261158157602255,0.7261158157602255,0,0.7261158157602255,0.7261158157602255,1.0,1.0,1.6000000000000227,0.0,21.9,21.916904417673745,191.47331714630127,0.9583333333333334,0,8,0,22.305706024169922,0.01,10000000.0,5.0,-614.9269416185653,-6000.0,12000.0,493.7,0,21.442601362581115,1.613359375000016,0.0,21.741010634961413,21.442601362581115,-0.28110831796834646,0.017300954411950897,-9.14342338670308,23.8
-0.2839181561559485,8,0.2469,21.480634863897762,21.0,24.0,0.769281804561615,0.5093462467193604,0.7043341398239136,full_soft,soft,0.7501393409298703,2.539527801449362e-13,23.8,0.7501393409299338,0.7501393409299338,0,0.7501393409299338,0.7501393409299338,1.0,1.0,1.5613281249999886,0.0,21.9,21.918223804235456,191.4936876296997,0.953125,0,9,0,22.288774490356445,0.01,10000000.0,5.0,-822.6133413578463,-6000.0,12000.0,493.7,0,21.459902316993066,1.6000000000000227,0.0,21.744355112946153,21.459902316993066,-0.2637202490483901,0.02073254690469639,-8.753939903575231,23.8
-0.26954809190118567,9,0.2469,21.5033887341246,21.0,24.0,0.7766819596290588,0.5093889236450195,0.7135137319564819,full_soft,soft,0.763674283540523,3.5877332888353613e-13,23.8,0.7636742835406078,0.7636742835406078,0,0.7636742835406078,0.7636742835406078,1.0,1.0,1.4906250000000227,0.0,21.9,21.921111051241557,191.50006771087646,0.9479166666666666,0,10,0,22.30533218383789,0.01,10000000.0,5.0,-1004.9985370207487,-6000.0,12000.0,493.7,0,21.480634863897762,1.5613281249999886,0.0,21.751024068755953,21.480634863897762,-0.24763533463135445,0.02275387022683617,-8.355865148536363,23.8
