MHE_Prediction_Error,Time_Step,Price,T_Zone,T_Lower,T_Upper,Action_MPC,Action_Agent,Action_Final,Ablation_Tag,LL_Mode,Alpha_Online,Risk_Gate,Future_Upper_Min_3h,Alpha_Soft,Alpha_Exec,Hard_Switch_Flag,Alpha,Alpha_Final,Alpha_Action,Alpha_Temp,T_Out,Q_Sol,Temp_Rule,Temp_Target,Temp_Agent,Alpha_HL,Is_Away,Home_Step,Violation,Tset_AI,R_est,C_est,A_solar_est,Q_gain_est,c1_est,c2_est,c3_est,MHE_Updated,T_Zone_prev,T_Out_prev,MHE_Loss,T_Pred_RC,T_Pred_MHE,RC_Error,MHE_Error,Reward,T_Upper_Ctrl
-0.24320844940837105,0,0.23717,21.140202994766582,21.0,24.0,0.2485666424036026,0.47985050082206726,0.31963691115379333,full_soft,soft,0.6927140593037862,3.447430153582149e-10,23.8,0.6927140594097209,0.6927140594097209,0,0.6927140594097209,0.6927140594097209,1.0,1.0,11.0,0.0,21.4,21.40216996471087,196.38183116912842,0.9947916666666666,0,1,0,21.816633224487305,0.01,10000000.0,5.0,0.0,-6000.0,12000.0,493.7,0,21.89270668845188,0.30000000000001137,0.0,22.032842604617088,21.89270668845188,-0.8926396098505052,-0.7525036936852985,-5.750760826947572,23.8
-0.23267360607138698,1,0.23717,21.096923619756296,21.0,24.0,0.4341331422328949,0.4798484146595001,0.4679349660873413,full_soft,soft,0.26060098387929115,1.2322309508976519e-15,23.8,0.26060098387929204,0.26060098387929204,0,0.26060098387929204,0.26060098387929204,1.0,1.0,10.899999999999977,0.0,21.4,21.403816958268482,196.3776397705078,0.9895833333333334,0,2,0,21.766427993774414,0.01,10000000.0,5.0,-1190.1861464673402,-6000.0,12000.0,493.7,0,21.140202994766582,11.0,0.0,21.373387086462856,21.140202994766582,-0.2764634667065593,-0.043279375010286,-6.248155419484244,23.8
-0.22618457633711841,2,0.23717,21.051818492920745,21.0,24.0,0.5183278322219849,0.4798923134803772,0.489378958940506,full_soft,soft,0.24682001941709714,5.98998245960244e-16,23.8,0.24682001941709758,0.24682001941709758,0,0.24682001941709758,0.24682001941709758,1.0,1.0,10.800000000000011,0.0,21.4,21.406290996074674,196.38147354125977,0.984375,0,3,0,21.802623748779297,0.01,10000000.0,5.0,-1390.953105970264,-6000.0,12000.0,493.7,0,21.096923619756296,10.899999999999977,0.0,21.323602249951932,21.096923619756296,-0.2717837570311872,-0.045105126835551346,-7.091749287226006,23.8
-0.23285109087197498,3,0.23717,21.059947065848064,21.0,24.0,0.6082019805908203,0.47986361384391785,0.5371098518371582,full_soft,soft,0.44605668231417284,2.8245141568078975e-16,23.8,0.446056682314173,0.446056682314173,0,0.446056682314173,0.446056682314173,1.0,1.0,10.699999999999989,0.0,21.4,21.407971477508546,196.38556480407715,0.9791666666666666,0,4,0,21.782630920410156,0.01,10000000.0,5.0,-1584.8672147956324,-6000.0,12000.0,493.7,0,21.051818492920745,10.800000000000011,0.0,21.285642740949072,21.051818492920745,-0.22569567510100796,0.008128572927319055,-6.972742355393523,23.8
-0.2252273506149436,4,0.235,21.119334533938172,21.0,24.0,0.6235373616218567,0.4799267649650574,0.5494388937950134,full_soft,soft,0.4840319236751929,3.234300207452641e-16,23.8,0.48403192367519304,0.48403192367519304,0,0.48403192367519304,0.48403192367519304,1.0,1.0,10.564374999999984,0.0,21.4,21.411040856440863,196.40610694885254,0.9739583333333334,0,5,0,21.8239688873291,0.01,10000000.0,5.0,-1717.6460661146932,-6000.0,12000.0,493.7,0,21.059947065848064,10.699999999999989,0.0,21.286929528675785,21.059947065848064,-0.16759499473761252,0.059387468090108086,-5.8357618301413865,23.8
-0.1954988822774908,5,0.235,21.201594976816523,21.0,24.0,0.563835620880127,0.4798890948295593,0.5084829330444336,full_soft,soft,0.3406194999706654,8.702442385325583e-16,23.8,0.34061949997066593,0.34061949997066593,0,0.34061949997066593,0.34061949997066593,1.0,1.0,10.379999999999995,0.0,21.4,21.414930176734924,196.4176082611084,0.96875,0,6,0,21.877765655517578,0.01,10000000.0,5.0,-1789.7965365834198,-6000.0,12000.0,493.7,0,21.119334533938172,10.564374999999984,0.0,21.317233135201548,21.119334533938172,-0.11563815838502478,0.08226044287835066,-4.2759407220137895,23.8
-0.17342159954455383,6,0.235,21.266582917014603,21.0,24.0,0.4699801802635193,0.4799709618091583,0.47799476981163025,full_soft,soft,0.19780148355405966,3.428168002799793e-15,23.8,0.1978014835540624,0.1978014835540624,0,0.1978014835540624,0.1978014835540624,1.0,1.0,10.18062500000002,0.0,21.4,21.417586266994476,196.4073657989502,0.9635416666666666,0,7,0,21.882366180419922,0.01,10000000.0,5.0,-1823.2607846285996,-6000.0,12000.0,493.7,0,21.201594976816523,10.379999999999995,0.0,21.377395842822807,21.201594976816523,-0.11081292580820445,0.06498794019807974,-3.0254528343276803,23.8
0.18029359150472146,7,0.235,21.27730259113173,21.0,24.0,0.018144402652978897,0.48000237345695496,0.041237302124500275,full_soft,soft,0.95,1.0126526278161452e-14,23.8,0.9500000000000005,0.9500000000000005,0,0.9500000000000005,0.9500000000000005,1.0,1.0,10.0,0.0,21.0,21.03414559364319,196.40085697174072,0.9583333333333334,0,8,0,21.819494247436523,0.01,10000000.0,5.0,-1853.876403692081,-6000.0,12000.0,493.7,0,21.266582917014603,10.18062500000002,0.0,21.08801142757693,21.266582917014603,0.1892911635547989,0.010719674117126488,-6.005548633770935,23.8
0.000875137557443395,8,0.23333,21.251901102216152,21.0,24.0,0.17248059809207916,0.4799621105194092,0.22522321343421936,full_soft,soft,0.8284689804495834,1.210743322906819e-14,23.8,0.8284689804495855,0.8284689804495855,0,0.8284689804495855,0.8284689804495855,1.0,1.0,9.84671874999998,0.0,21.2,21.22399311065674,196.3974952697754,0.953125,0,9,0,21.71185302734375,0.01,10000000.0,5.0,-1761.2311014096747,-6000.0,12000.0,493.7,0,21.27730259113173,10.0,0.0,21.277578371424,21.27730259113173,-0.025677269207847075,-0.02540148891557692,-0.8118248326659956,23.8
-0.16327588621265932,9,0.23333,21.206625263407716,21.0,24.0,0.4085976779460907,0.47999072074890137,0.4576437473297119,full_soft,soft,0.313013230947368,7.928480727418236e-15,23.8,0.31301323094737343,0.31301323094737343,0,0.31301323094737343,0.31301323094737343,1.0,1.0,9.701250000000016,0.0,21.4,21.417768025398253,196.40753746032715,0.9479166666666666,0,10,0,21.741146087646484,0.01,10000000.0,5.0,-1764.0841313216577,-6000.0,12000.0,493.7,0,21.251901102216152,9.84671874999998,0.0,21.41607872462953,21.251901102216152,-0.20945346122181263,-0.04527583880843622,-4.49295176269207,23.8
-0.16546804095946754,10,0.23333,21.15118885890888,21.0,24.0,0.48382166028022766,0.4800835847854614,0.48078659176826477,full_soft,soft,0.18806704536200153,3.7279710020484804e-15,23.8,0.18806704536200455,0.18806704536200455,0,0.18806704536200455,0.18806704536200455,1.0,1.0,9.555156249999982,0.0,21.4,21.420032741626102,196.43423080444336,0.9427083333333334,0,11,0,21.749662399291992,0.01,10000000.0,5.0,-1878.0675709447662,-6000.0,12000.0,493.7,0,21.206625263407716,9.701250000000016,0.0,21.372909220476686,21.206625263407716,-0.2217203615678045,-0.05543640449883469,-5.379555610587947,23.8
